TIME,year,month,T#Bari#wine,T#Lugo#wine,T#Pescara#wine,T#Trapani#wine,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
2021-02-01,2021,2,30.74,61.27,54.0,,0.98,0.15,0.56,0.64,0.17,0.05,46500.63,32569.54,,39821.4,27484.94,88262.9
2021-03-01,2021,3,30.47,61.18,54.0,,1.23,0.44,0.98,0.81,0.65,0.43,47392.26,33216.16,,40463.05,27985.59,
2021-03-29,2021,3,30.4,61.13,54.0,,1.47,0.72,1.4,0.98,1.14,0.82,,33862.78,,41104.7,28486.24,
2021-04-26,2021,4,30.4,61.73,54.0,,1.71,1.01,1.81,1.14,1.63,1.2,49175.51,34509.4,49422.2,41746.35,28986.88,95132.35
2021-05-31,2021,5,30.4,62.37,54.0,51.4,1.95,1.3,2.23,1.31,2.12,1.59,50067.14,35156.02,50090.39,42388.0,29487.53,97422.17
2021-06-28,2021,6,30.4,62.69,54.0,49.5,2.2,1.59,2.65,1.48,2.61,1.97,50958.77,35802.64,50758.57,43029.66,29988.17,99711.98
2021-07-26,2021,7,30.4,63.27,54.0,48.48,2.44,1.87,3.07,1.64,3.09,2.36,51850.4,36449.26,51426.75,43671.31,30488.82,102001.8
2021-08-30,2021,8,31.21,64.04,54.0,48.7,2.44,1.87,3.07,1.64,3.09,2.36,51850.4,36449.26,51426.75,43671.31,30488.82,102001.8
2021-09-27,2021,9,32.16,65.84,54.0,49.4,2.44,1.87,3.07,1.64,3.09,2.36,51850.4,36449.26,51426.75,43671.31,30488.82,102001.8
2021-11-01,2021,11,33.11,67.61,54.0,51.34,2.44,1.87,3.07,1.64,3.09,2.36,51850.4,36449.26,51426.75,43671.31,30488.82,102001.8
2021-11-29,2021,11,34.06,69.01,54.0,52.98,2.44,1.87,3.07,1.64,3.09,2.36,51850.4,36449.26,51426.75,43671.31,30488.82,102001.8
2021-12-27,2021,12,35.01,70.38,54.0,54.63,2.44,1.87,3.07,1.64,3.09,2.36,51850.4,36449.26,51426.75,43671.31,30488.82,102001.8
2022-01-31,2022,1,35.96,72.0,54.0,56.27,3.46,2.78,3.61,2.15,3.85,3.14,51575.6,36210.28,51039.78,43273.44,30372.5,102284.87
2022-02-28,2022,2,36.91,73.54,54.0,57.5,,,4.15,,4.61,,51300.81,35971.31,50652.82,42875.58,30256.17,102567.94
2022-03-28,2022,3,37.05,74.91,54.0,57.5,,,,,,,51026.01,35732.33,50265.85,42477.71,30139.85,102851.01
2022-04-25,2022,4,37.05,75.26,54.0,57.5,6.53,5.49,5.24,3.69,6.12,5.47,50751.21,35493.35,49878.89,42079.85,30023.52,103134.08
2022-08-29,2022,8,35.67,75.34,,55.21,7.55,6.39,5.79,4.2,6.88,6.25,50476.42,35254.38,49491.92,41681.98,29907.19,103417.15
2022-09-26,2022,9,34.04,74.88,,52.93,8.58,7.3,6.33,4.71,7.63,7.03,50201.62,35015.4,49104.96,41284.12,29790.87,103700.22
2022-10-31,2022,10,32.41,74.28,,50.64,9.6,8.2,6.87,5.22,8.39,7.81,49926.83,34776.42,48717.99,40886.25,29674.54,103983.29
2022-11-28,2022,11,30.78,73.56,49.76,48.36,9.6,8.2,6.87,5.22,8.39,7.81,49926.83,34776.42,48717.99,40886.25,29674.54,103983.29
2022-12-26,2022,12,29.15,72.62,48.81,46.07,9.6,8.2,6.87,5.22,8.39,7.81,49926.83,34776.42,48717.99,40886.25,29674.54,103983.29
2023-01-30,2023,1,27.52,71.65,48.37,43.79,,,,,,,,,,,,
2023-02-27,2023,2,25.89,70.62,47.94,41.5,,,,,,,,,,,,
2023-03-27,2023,3,25.79,69.84,48.78,41.5,,,,,,,,,,,,
2023-05-01,2023,5,25.79,69.49,49.31,41.5,,,,,,,,,,,,
2023-05-29,2023,5,25.84,69.15,49.83,41.5,,,,,,,,,,,,
2023-06-26,2023,6,26.11,68.88,50.48,41.5,,,,,,,,,,,,
2023-07-31,2023,7,26.49,68.7,52.11,41.5,,,,,,,,,,,,
2023-08-28,2023,8,27.71,68.61,54.59,41.5,,,,,,,,,,,,
2023-09-25,2023,9,30.16,68.69,57.06,42.21,,,,,,,,,,,,
2023-10-30,2023,10,32.46,69.45,59.54,43.79,,,,,,,,,,,,
2023-11-27,2023,11,34.91,70.56,62.01,45.36,,,,,,,,,,,,
2024-01-01,2024,1,37.29,71.67,64.49,46.93,,,,,,,,,,,,
2024-01-29,2024,1,39.47,72.93,68.7,48.5,,,,,,,,,,,,
