TIME,year,month,ES_plums,BEL_gdp,ITA_gdp,FRA_gdp,ESP_gdp,IRL_gdp,BEL_inflazione,ITA_inflazione,FRA_inflazione,ESP_inflazione,IRL_inflazione
2004-06-28,2004.0,6.0,160.5,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-07-05,2004.0,7.0,111.0,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-07-12,2004.0,7.0,79.5,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-07-19,2004.0,7.0,81.0,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-07-26,2004.0,7.0,81.0,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-08-02,2004.0,8.0,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-08-09,2004.0,8.0,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-08-16,2004.0,8.0,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-08-23,2004.0,8.0,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-08-30,2004.0,8.0,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-09-06,2004.0,9.0,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-09-13,2004.0,9.0,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-09-20,2004.0,9.0,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-09-27,2004.0,9.0,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-10-04,2004.0,10.0,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
