TIME,year,month,T#AT#pigmeat_e,T#BE#pigmeat_e,T#DE#pigmeat_e,T#DK#pigmeat_e,T#EL#pigmeat_e,T#ES#pigmeat_e,T#FI#pigmeat_e,T#FR#pigmeat_e,T#IE#pigmeat_e,T#LU#pigmeat_e,T#NL#pigmeat_e,T#PT#pigmeat_e,T#SE#pigmeat_e,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
1991-08-19,1991,8,,143.9,136.95,119.79,145.45,150.21,,136.46,117.56,148.57,124.17,163.99,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-08-26,1991,8,,144.17,137.94,119.34,146.24,149.05,,135.77,115.89,148.36,125.04,164.52,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-09-02,1991,9,,145.31,140.56,118.9,147.47,147.03,,135.26,115.09,147.77,127.18,164.35,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-09-09,1991,9,,148.15,143.65,119.26,148.27,146.13,,136.53,114.99,147.55,130.98,164.0,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-09-16,1991,9,,150.44,146.34,119.63,149.07,145.9,,139.4,115.49,147.77,134.71,163.21,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-09-23,1991,9,,151.58,148.53,120.44,149.94,144.96,,141.94,116.37,148.13,137.11,161.76,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-09-30,1991,9,,151.79,149.32,121.25,151.2,143.04,,143.04,117.4,148.93,137.29,160.0,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-10-07,1991,10,,151.11,149.4,122.83,152.75,140.34,,143.46,118.45,149.83,137.52,158.03,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-10-14,1991,10,,150.85,148.75,124.09,153.92,138.09,,143.66,119.51,150.72,136.78,156.31,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-10-21,1991,10,,150.3,147.44,125.34,154.69,136.39,,143.67,120.16,151.72,135.0,155.12,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-10-28,1991,10,,149.23,145.55,126.11,155.34,135.68,,142.9,120.76,153.17,132.83,154.2,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
