TIME,year,month,EL_peaches_jaunes,ES_peaches_jaunes,HU_peaches_jaunes,IT_peaches_jaunes,PT_peaches_jaunes,DE_peaches_jaunes,BE_peaches_jaunes,ES_peaches_blanches,HU_peaches_blanches,IT_peaches_blanches,DE_peaches_blanches,BE_peaches_blanches,BEL_gdp,ITA_gdp,FRA_gdp,ESP_gdp,IRL_gdp,BEL_inflazione,ITA_inflazione,FRA_inflazione,ESP_inflazione,IRL_inflazione
2014-10-13,2014.0,10.0,79.19800000000001,66.84400000000001,82.35125000000001,75.55555555555556,49.727272727272734,81.15118279569893,81.15118279569893,64.33333333333334,82.28581818181819,68.84615384615384,81.28900332225913,81.28900332225913,47764.07151208328,35565.721377149624,43068.548724173925,29513.651180040484,55752.764983813126,0.340002833356922,0.241047429826756,0.50775882293799,-0.151114837527235,0.182542316627901
2014-10-20,2014.0,10.0,80.298,73.99799999999999,89.0905,83.33333333333333,53.090909090909086,81.15118279569893,81.15118279569893,64.86666666666667,84.40963636363635,74.61538461538461,81.28900332225913,81.28900332225913,47764.07151208328,35565.721377149624,43068.548724173925,29513.651180040484,55752.764983813126,0.340002833356922,,0.50775882293799,-0.151114837527235,
2015-05-11,,5.0,88.07000000000001,86.886,97.8475,91.11111111111111,56.45454545454546,81.15118279569893,81.15118279569893,66.11111111111111,85.82272727272728,80.38461538461539,81.28900332225913,81.28900332225913,,,,,,,,,,
2015-05-18,,5.0,103.128,98.366,108.85625,98.88888888888889,59.81818181818183,81.15118279569893,81.15118279569893,67.66666666666667,88.2890909090909,86.15384615384616,81.28900332225913,81.28900332225913,,,,,,,,,,
2015-05-25,,5.0,118.14200000000001,121.55999999999999,119.86500000000001,106.66666666666666,63.18181818181819,81.15118279569893,81.15118279569893,69.22222222222223,90.75545454545455,91.92307692307693,81.28900332225913,81.28900332225913,,,,,,,,,,
2015-06-01,,6.0,129.31400000000002,136.76,130.87375000000003,114.44444444444443,66.54545454545455,81.15118279569893,81.15118279569893,70.77777777777779,93.22181818181818,97.6923076923077,81.28900332225913,81.28900332225913,,,,,,,,,,
2015-06-08,,6.0,135.842,140.89,141.8825,113.16666666666666,69.9090909090909,81.15118279569893,81.15118279569893,72.33333333333333,95.68818181818182,103.46153846153845,81.28900332225913,81.28900332225913,,,,,,,,,,
2015-06-15,,6.0,130.214,133.612,145.6855,107.66733333333335,73.27272727272728,81.15118279569893,81.15118279569893,73.88888888888889,98.15454545454546,105.74292307692308,81.28900332225913,81.28900332225913,,,,,,,,,,
2015-06-22,,6.0,114.686,124.63,141.78275000000002,97.77844444444445,72.96363636363637,81.15118279569893,81.15118279569893,74.53333333333333,100.62090909090908,104.53846153846152,81.28900332225913,81.28900332225913,,,,,,,,,,
2015-06-29,,6.0,99.98599999999999,111.80699999999999,132.24824999999998,85.334,70.58181818181819,81.15118279569893,81.15118279569893,73.18666666666667,103.08727272727272,98.18015384615384,81.28900332225913,81.28900332225913,,,,,,,,,,
2015-07-06,2015.0,7.0,89.18599999999999,98.984,116.99749999999999,70.5,66.65454545454546,81.15118279569893,81.15118279569893,71.4888888888889,101.60636363636362,89.16799999999999,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-07-13,2015.0,7.0,82.35799999999999,86.161,101.74675,62.0,62.72727272727273,81.15118279569893,81.15118279569893,69.088,96.17218181818183,78.16799999999999,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-07-20,2015.0,7.0,78.98599999999999,73.338,86.49600000000001,56.166,58.8,81.15118279569893,81.15118279569893,66.648,95.96872727272726,69.502,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-07-27,2015.0,7.0,76.014,70.70000000000002,77.934,53.166,56.8,81.15118279569893,81.15118279569893,64.44800000000001,90.85,63.16799999999999,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-08-03,2015.0,8.0,73.172,67.42,73.88000000000001,51.49933333333333,56.2,81.15118279569893,81.15118279569893,64.378,85.054,61.50066666666667,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-08-10,2015.0,8.0,70.9,64.09,69.896,51.0,55.4,81.15118279569893,81.15118279569893,64.19800000000001,79.066,62.0,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-08-17,2015.0,8.0,68.872,65.012,70.412,52.0,54.4,81.15118279569893,81.15118279569893,64.79,78.568,64.0,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-08-24,2015.0,8.0,67.014,65.546,67.896,57.0,54.0,81.15118279569893,81.15118279569893,64.72200000000001,71.442,66.0,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-08-31,2015.0,8.0,66.214,65.91999999999999,67.46,62.0,53.94199999999999,81.15118279569893,81.15118279569893,65.321,69.476,68.0,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-09-07,2015.0,9.0,65.814,66.962,65.738,65.66666666666666,55.94199999999999,81.15118279569893,81.15118279569893,65.777,67.74,69.33333333333334,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-09-14,2015.0,9.0,65.556,67.80199999999999,66.896,69.0,57.742,81.15118279569893,81.15118279569893,65.867,70.664,71.53846153846153,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-09-21,2015.0,9.0,66.57000000000001,66.47999999999999,67.926,72.0,57.141999999999996,81.15118279569893,81.15118279569893,66.901,71.94800000000001,74.61538461538461,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-09-28,2015.0,9.0,69.21400000000001,63.641999999999996,70.67,72.75763636363635,56.94199999999999,81.15118279569893,81.15118279569893,66.416,74.69,79.23076923076924,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-10-05,2015.0,10.0,72.31400000000001,61.038,73.518,75.2729090909091,56.8,81.15118279569893,81.15118279569893,63.717,77.038,85.38461538461539,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-10-12,2015.0,10.0,75.41400000000002,58.291999999999994,76.47876923076923,80.54581818181819,55.0,81.15118279569893,81.15118279569893,61.37463636363636,79.22766666666666,93.07692307692307,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-10-19,2015.0,,82.22200000000001,53.657999999999994,78.33030769230768,87.57636363636364,54.0,81.15118279569893,81.15118279569893,60.21190909090909,80.291,100.76923076923077,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,0.0375143805125182,-0.500365709903242,-0.289879079012766
2015-10-26,2015.0,,92.03600000000002,50.798,78.94461538461539,96.36454545454545,56.0,81.15118279569893,81.15118279569893,58.38881818181818,80.852,108.46153846153845,81.28900332225913,81.28900332225913,41008.29671947198,30242.38613521843,36652.92230521776,25754.361029439977,62179.2642662951,0.561429152790065,0.0387903996579733,,-0.500365709903242,-0.289879079012766
2016-04-25,,4.0,104.1,74.74000000000001,79.65769230769232,105.15272727272728,58.0,81.15118279569893,81.15118279569893,59.13636363636364,80.74666666666667,116.15384615384615,81.28900332225913,81.28900332225913,,,,,,,,,,
