TIME,year,month,T#AE#EU,T#AL#EU,T#AO#EU,T#AT#EU,T#AU#EU,T#BA#EU,T#BE#EU,T#BG#EU,T#BR#EU,T#BY#EU,T#CA#EU,T#CH#EU,T#CL#EU,T#CN#EU,T#CU#EU,T#CV#EU,T#CY#EU,T#CZ#EU,T#DE#EU,T#DK#EU,T#DZ#EU,T#EE#EU,T#EG#EU,T#ES#EU,T#FI#EU,T#FR#EU,T#GB#EU,T#GR#EU,T#HK#EU,T#HR#EU,T#HU#EU,T#IE#EU,T#IL#EU,T#IN#EU,T#IS#EU,T#IT#EU,T#JP#EU,T#KR#EU,T#KW#EU,T#KZ#EU,T#LB#EU,T#LI#EU,T#LT#EU,T#LU#EU,T#LV#EU,T#MA#EU,T#MD#EU,T#MK#EU,T#MT#EU,T#MX#EU,T#MY#EU,T#NG#EU,T#NL#EU,T#NO#EU,T#NZ#EU,T#PL#EU,T#PT#EU,T#RO#EU,T#RU#EU,T#SA#EU,T#SE#EU,T#SG#EU,T#SI#EU,T#SK#EU,T#TH#EU,T#TN#EU,T#TR#EU,T#TW#EU,T#UA#EU,T#US#EU,T#ZA#EU,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione
2000-05-01,2000,5,,,,3091707.29,79725.29,,3774692.57,,,,295250.43,2542928.57,,147496.57,,,82522.29,691328.57,24735063.14,3745028.71,,161096.71,352257.0,3041180.43,276265.29,8135264.86,7780187.29,393233.57,,131481.43,614977.29,556674.14,1262996.71,,236387.14,6634015.29,304294.14,147166.29,,,,5670.0,86238.43,260769.29,12881.86,223089.43,,45375.29,,,,,21471284.57,2279727.86,,563764.14,818846.29,28559.0,81964.0,,4671994.14,,622972.29,244464.57,,,348780.43,,8418.57,1908200.14,46264.86,23714.29,20671.15,24563.38,23062.7,15027.1,26335.58,2.14,2.29,1.2,1.35,3.11,4.46
2000-06-01,2000,6,,,,3089875.0,85548.14,,3808222.57,,,,329334.0,2577171.57,,,,,72688.14,684876.57,25163110.43,3986312.0,,162197.0,377783.71,3182475.29,294609.57,8538055.86,7785119.0,400658.71,,137883.57,620829.71,502614.29,1409135.71,,227102.71,6824533.71,337982.29,174286.57,,,,5557.29,82490.71,257226.29,14289.86,197929.14,,41924.57,,,,,22360380.57,2251224.29,,559951.0,807757.57,22591.0,92855.57,,4720661.29,,584487.14,251675.0,,,343610.57,,6075.86,1895273.57,46608.29,23406.59,20404.37,24129.07,22739.56,14888.4,26335.07,2.34,2.41,1.32,1.51,3.27,5.03
2000-07-01,2000,7,20054.57,,,3151749.14,89610.71,,3834021.86,,,,351490.86,2642203.14,,207166.57,,,73452.0,673424.29,25562017.29,4091272.29,,159505.86,414618.0,3117029.0,294853.0,8703100.29,7679363.71,390176.71,,129560.71,578937.57,466100.71,1318182.71,,211534.43,7048350.14,406889.86,186509.43,,,,,77873.86,266833.86,15009.43,144187.29,,40040.14,,,,,22629652.29,2204321.43,,603070.71,939143.57,25123.14,89698.14,,4422312.86,,634973.86,240291.0,,,375314.57,,8706.86,1898122.86,38337.71,23098.89,20137.59,23694.76,22416.43,14749.69,26334.57,2.54,2.54,1.44,1.68,3.43,5.59
2000-08-01,2000,8,24975.57,,,3060345.14,94796.29,,3693704.14,,,,367489.14,2520275.57,,205747.29,,,61340.71,672221.29,24002969.29,4138053.14,,155689.57,464811.57,3131628.14,294329.57,8100062.43,7537129.0,410193.0,,128197.14,562800.43,515677.43,1369947.0,,230365.86,6512372.86,,213032.29,,,,,78072.86,256471.0,18839.57,104640.0,,41482.71,,,,,21852640.71,2203775.14,,626059.14,870883.14,24118.0,105790.29,331002.57,4411906.0,,613751.43,243479.86,,,421033.0,,10895.0,1821702.57,35029.29,23098.89,20137.59,23694.76,22416.43,14749.69,26334.57,2.54,2.54,1.44,1.68,3.43,5.59
2000-09-01,2000,9,28544.14,,,3061202.14,98529.57,,3552766.43,,,,383700.57,2424611.43,,236606.29,,,64136.43,640768.29,23787175.43,3915871.71,,165990.57,540055.29,3185609.14,272240.71,8354825.14,7656305.14,468255.0,,131733.0,471264.43,528775.57,1317468.29,,215169.0,6745805.71,444045.86,181587.57,,,,,75322.0,253325.0,20167.86,67489.29,,33863.14,,,,,21810707.43,2270407.29,,650379.86,860449.29,20322.14,96541.0,318125.86,4580228.86,,627178.0,236480.14,,,,,11347.57,1874454.14,63019.0,23098.89,20137.59,23694.76,22416.43,14749.69,26334.57,2.54,2.54,1.44,1.68,3.43,5.59
2000-10-01,2000,10,51235.0,,,2974769.0,99977.14,79414.57,3596985.14,,,,432944.57,2468372.57,,260692.43,,,60790.57,636074.0,23686252.71,3948236.71,,184849.29,598568.29,3310426.86,274104.86,8521290.71,7733240.29,475347.71,,128338.29,462365.14,587910.14,1428653.29,,235733.57,6711959.71,443010.71,191805.86,,,,,85628.14,253239.0,19508.29,59552.14,,27626.43,,18699.43,,,21368815.14,2375943.86,,711553.71,895684.29,24230.71,106689.86,327260.86,4557223.86,,641483.57,220124.57,,,586701.29,,15331.14,1949929.86,73051.86,23098.89,20137.59,23694.76,22416.43,14749.69,26334.57,2.54,2.54,1.44,1.68,3.43,5.59
2000-11-01,2000,11,81515.29,8329.29,,3048169.43,104001.29,89717.29,3508106.86,,,,439321.57,2510134.14,,209716.14,,,88412.57,636666.57,24235612.29,3642697.71,,,568548.29,3382767.29,276067.86,8659357.71,7785191.43,495422.29,130818.71,115067.14,473554.29,588511.29,1362174.0,,206647.71,6935421.86,427819.43,221581.29,,,,,84137.71,250888.29,21186.29,74150.29,,31144.57,,18766.57,,,21289513.43,2517556.29,,712628.29,957668.43,31571.57,114307.57,126036.57,4656443.86,,647327.71,224401.29,,,627254.57,53172.0,15641.86,2013312.57,68697.43,23098.89,20137.59,23694.76,22416.43,14749.69,26334.57,2.54,2.54,1.44,1.68,3.43,5.59
2000-12-01,2000,12,80200.43,9221.57,,2972134.43,76263.57,91020.43,3308343.0,,,,426677.43,2434396.86,,174823.29,,,87909.43,639168.71,23666265.71,3411883.14,,,615595.0,3144740.43,265651.14,8451987.43,7755600.0,512510.29,73037.43,116740.43,461931.0,652297.43,1401193.0,,227447.43,6653952.29,539089.14,192485.71,,,,,92936.71,235393.29,18403.57,89289.0,,25573.86,,26469.29,,,20995545.57,2461734.43,,669887.0,982772.71,37836.14,117098.86,97000.29,4346679.0,24410.86,660052.0,233298.43,,,639830.29,65039.71,17671.0,1960217.43,100520.57,23098.89,20137.59,23694.76,22416.43,14749.69,26334.57,2.54,2.54,1.44,1.68,3.43,5.59
2001-01-01,2001,1,75018.14,8334.14,,3127192.14,85652.0,88327.71,3491509.86,,,,414242.57,2415353.0,,179920.57,,,74194.71,661773.0,23380919.71,3438815.71,,223650.14,562573.29,3202921.71,301547.29,8587379.14,7630507.43,573615.57,,103585.57,432461.57,631184.86,1374359.43,,232286.43,6646551.14,504841.43,170655.14,,,158357.57,,94804.0,234784.43,22531.0,80644.0,,22548.86,,31615.0,,,20828681.14,2560949.57,,673642.29,1046733.14,42156.43,101524.43,130550.14,4316202.43,25789.43,746428.14,229396.29,,,647606.43,68885.0,18456.71,1967197.29,105176.43,23086.91,20189.5,23685.27,22421.13,14838.16,,2.53,2.57,1.52,1.67,3.46,5.49
2001-02-01,2001,2,74176.14,7278.57,,3256899.29,76201.29,89148.57,3536574.43,,,,397440.43,2500074.57,,206838.29,,,92482.0,685869.0,24065815.0,3757618.0,,227504.57,495128.86,3351913.14,341037.43,9063778.43,7575487.71,571321.0,,110797.57,454167.0,628701.71,1270496.86,,227148.14,6756250.71,469993.71,200476.86,,,144310.57,,100665.29,240037.43,32770.57,80678.14,,24193.86,,47458.14,,,21392319.71,2713042.57,,675667.43,1089582.0,50915.86,103038.29,137316.0,4693614.86,24866.43,725296.71,256442.86,,,612922.71,43924.0,16554.71,1990969.29,107444.29,23074.94,20241.41,23675.78,22425.83,14926.63,,2.52,2.61,1.6,1.66,3.48,5.39
2001-03-01,2001,3,73542.14,6352.14,,,69436.86,95458.57,3784641.14,13054.86,,,409911.0,2724337.43,,262140.86,,,93151.71,705285.0,26381181.71,4000995.57,,245830.86,479744.29,3476026.43,354600.0,,7819495.0,614357.43,,122261.0,472381.0,669129.43,1333370.86,,233671.86,,413619.0,200025.57,,,163842.14,,114130.43,270078.71,35043.43,80425.0,,18459.57,,48358.14,,,22747019.71,2687493.86,,674201.14,1118040.71,59326.0,97850.57,110344.86,4782434.71,28334.57,833575.71,261411.57,,,594982.43,43636.43,20326.71,2100001.57,127473.71,23062.97,20293.32,23666.29,22430.53,15015.11,,2.51,2.64,,1.66,3.5,5.28
2001-04-01,2001,4,72776.29,6253.86,,3413204.57,68761.0,85802.71,3739409.86,14425.0,,,401069.43,2787456.14,,270818.43,266462.29,,90969.71,727291.71,25974492.14,3983780.57,,243689.14,448495.43,3482203.29,383621.86,9831733.86,7870423.71,588159.57,,125510.43,482869.14,681948.57,1263397.57,,244623.57,7268309.14,397064.29,,,,174239.57,,118623.14,272361.14,34982.43,85407.71,,23286.57,,53902.86,,,22440185.43,2620652.14,,697260.57,1137237.43,69165.71,103259.57,88930.86,4533237.57,,831250.43,267668.14,,,476673.71,,24082.14,2067110.14,111688.57,23050.99,20345.23,23656.8,22435.23,15103.58,27447.62,2.5,2.68,1.75,1.65,3.52,5.18
2001-05-01,2001,5,66373.86,3946.0,,3466017.71,63331.14,77694.71,3748516.29,12185.43,,,420418.29,2796567.43,,260491.86,229237.0,,95278.14,726405.43,25976184.57,3952362.71,,275127.43,423785.14,3558878.14,416459.29,9529905.0,7991486.0,668634.0,,133543.43,477789.0,597433.71,1337627.29,,243060.14,7499700.0,350244.71,,,,159826.29,,121459.86,277364.14,37026.43,84875.57,,34167.86,,48191.71,,,22576077.86,2555759.86,,668551.86,1225545.71,77837.86,93060.0,110344.86,4461906.14,,880284.14,283529.57,,,382179.43,,19101.57,2091546.43,100108.14,23039.02,20397.14,23647.31,22439.94,15192.05,27725.88,2.49,2.71,1.83,1.65,3.55,5.08
2001-06-01,2001,6,35986.14,4199.86,,3454843.43,58980.0,67414.29,3802166.86,20984.86,,,410701.29,2753037.0,,353712.43,,,67318.14,712462.71,25910309.43,3926191.57,,288524.14,437804.86,3657030.71,456495.14,9610234.29,8015557.71,726594.29,,141365.0,494954.14,591042.43,1187705.43,,,7476093.71,366676.57,,,,131266.14,,129985.14,286426.57,36661.43,68868.71,,31566.86,,47858.43,,,22379306.43,2495673.57,,689083.14,1175745.43,86745.86,90879.71,175025.29,4284570.71,,914156.43,321372.71,,,309612.71,,20452.0,2165794.43,115324.86,23027.04,20449.05,23637.82,22444.64,15280.53,28004.15,2.48,2.75,1.91,1.64,3.57,4.98
2001-07-01,2001,7,40549.0,3448.0,,3729752.14,53463.57,75234.0,3765173.14,24775.57,,,411154.0,2824221.0,,366039.57,,,78553.14,693307.71,26539841.0,4015782.57,,306382.43,406334.0,3714240.29,468505.14,9570984.57,8109078.86,794260.0,,142151.14,517313.57,538655.0,1260741.29,,244374.86,7686423.57,366907.86,525145.57,,,150898.43,,119799.43,301842.0,39364.86,51539.57,,29109.43,,41580.29,,,22341719.29,2387082.0,,707248.86,1217523.57,95723.29,93514.86,213580.0,4019125.29,,946533.14,324907.57,,,285257.57,,29702.71,2180744.43,84884.71,23015.07,20500.95,23628.33,22449.34,15369.0,28282.41,2.47,2.79,1.98,1.63,3.59,4.87
2001-08-01,2001,8,37314.0,4621.14,12685.71,3523316.86,40157.57,89684.86,3608333.71,,,,414362.14,2661404.71,,319722.71,,,76176.71,672001.57,25106158.14,3711955.43,,311552.43,451670.43,3454105.29,417923.43,8930353.57,8045727.14,700334.0,120060.86,148831.86,551350.14,578119.43,1138497.0,,217955.86,7027052.71,346036.14,601293.14,,,146394.57,7632.71,121452.57,298011.14,38248.14,50021.14,,39520.43,,38514.29,,,21082877.0,2255245.0,,761406.14,1109933.86,103102.71,106572.43,180003.29,3908248.14,,849571.86,335054.71,,,258229.86,,29544.29,2225065.57,80381.0,23015.07,20500.95,23628.33,22449.34,15369.0,28282.41,2.47,2.79,1.98,1.63,3.59,4.87
2001-09-01,2001,9,87578.57,5149.0,13103.29,3394889.29,35588.86,89467.43,3643644.29,,,,425789.29,2618271.57,,265674.57,,,71020.57,647475.43,24756874.29,3469542.14,,315884.57,477699.71,3615966.86,404169.0,8839774.57,8278161.43,741416.71,71525.43,152206.57,563966.0,570894.57,1083794.0,,240844.29,7215953.86,353905.43,678615.71,,,176682.14,9034.0,120908.14,318190.71,32789.86,57569.86,,38907.14,,30880.0,,,20826153.57,2360555.29,,798155.0,1044220.0,90359.86,113530.0,172810.14,3819445.14,,864711.14,331706.43,,,278002.14,,31789.43,2265887.57,97556.0,23015.07,20500.95,23628.33,22449.34,15369.0,28282.41,2.47,2.79,1.98,1.63,3.59,4.87
2001-10-01,2001,10,103035.43,5182.86,12006.71,3537385.57,44457.57,85668.71,3554881.86,,,,448520.0,2661129.86,,213088.71,,,80598.14,632735.86,24015253.0,3286950.86,,315072.14,445046.86,3688583.43,437612.57,8567590.0,8470492.71,691380.0,61323.29,164061.43,538673.71,557065.43,1028483.86,,231305.14,7343287.43,338971.71,897662.0,,,168848.86,11499.71,114345.29,309443.57,29825.57,70249.0,,44171.57,,36706.43,,,20322848.43,2553358.43,,814128.29,1138631.14,100593.57,113849.57,183761.14,3712883.57,,853017.0,351647.71,,,269564.43,,26244.86,2318555.43,86218.57,23015.07,20500.95,23628.33,22449.34,15369.0,28282.41,2.47,2.79,1.98,1.63,3.59,4.87
2001-11-01,2001,11,103205.0,5595.14,14344.0,3489770.43,47848.29,85256.14,3538390.57,,,,445229.57,2672763.57,,157485.0,,,90241.0,640074.0,24116238.14,3184598.57,,297656.14,409137.29,3716595.43,480775.29,8454860.29,8522356.71,690591.57,78865.71,168413.43,583399.0,539629.57,1099404.14,,227195.0,7618160.57,399231.86,1056214.86,,3582.86,153909.43,10176.86,116148.0,296678.86,31269.29,71565.43,,40759.0,,67998.86,266724.71,,20491042.43,2665954.86,,829990.71,1113211.29,106687.43,130162.0,268398.57,3857198.57,,898974.14,374363.0,,,254199.86,,24219.57,2334083.57,77331.57,23015.07,20500.95,23628.33,22449.34,15369.0,28282.41,2.47,2.79,1.98,1.63,3.59,4.87
2001-12-01,2001,12,114276.29,5047.43,12365.43,3199883.86,47813.0,79808.29,3202944.43,,,,439993.57,2450564.71,,134774.86,,,80947.0,585873.86,21771578.43,2799168.0,,246898.29,367856.86,3442158.14,475106.29,8132264.29,8006507.29,577724.0,66240.0,176859.29,536142.71,504172.14,942187.86,,,6875456.14,405837.86,1105999.57,,5189.71,158146.86,9248.0,103750.57,274185.43,32692.14,90232.71,,32602.71,,67535.71,295348.0,,18665684.14,2551833.0,,822640.57,1002237.57,111828.14,159934.71,255466.43,3701368.0,,833229.71,336772.29,,31777.71,260385.14,,26217.86,2186617.71,135899.43,23015.07,20500.95,23628.33,22449.34,15369.0,28282.41,2.47,2.79,1.98,1.63,3.59,4.87
2002-01-01,2002,1,127519.0,5363.57,13521.57,3219598.14,53391.29,81389.86,3224025.57,,,79299.86,421805.14,2443496.57,,55699.0,,,92087.43,606276.0,21548066.57,3041103.43,,211415.29,350537.0,3607503.86,479222.29,8246498.57,7771003.43,476861.57,52451.14,186351.71,494502.0,489032.43,986812.43,,189651.57,6894150.43,376705.43,1074484.57,,15885.14,158933.57,10815.43,102769.86,274945.57,33686.71,87285.43,,,,68122.57,341863.71,,18472419.29,2579195.57,,825238.14,1082820.0,106503.29,164914.71,191316.14,3874244.0,,850892.14,296679.57,,40318.29,237882.0,,25757.57,1969700.57,125352.86,,20768.86,,,15617.24,28914.27,,2.74,1.9,1.68,3.51,4.84
2002-02-01,2002,2,125239.29,5267.29,13811.71,3116695.29,56531.86,88458.14,3429789.71,,,78260.86,430114.43,2445394.43,,50338.29,,,91616.43,628604.57,21392187.14,3198727.43,,196516.86,303984.86,3835171.0,498773.71,8568959.43,7702519.14,413422.71,41999.57,177857.14,499209.71,458928.86,948155.57,,163060.14,7038284.71,264108.14,1027519.29,,21740.29,,10468.29,112041.14,270820.86,33067.14,87436.0,,,,66870.86,349893.14,,18077061.0,2723701.71,,844315.57,1034377.86,108086.29,168736.0,178175.71,4176245.14,,855375.14,299095.71,,,225451.86,,19409.86,1957552.71,123443.0,,,,,,,,2.69,1.82,,3.44,4.8
2002-03-01,2002,3,124751.29,5901.71,11620.57,3293984.57,53867.71,85232.29,3517295.71,,,78394.43,467269.43,2558251.57,,60779.86,,,94069.71,599670.86,22326486.86,3344356.86,,191494.43,244051.29,4098711.57,537438.43,9164151.43,8048238.29,499001.57,59766.86,199419.0,497880.57,467998.29,934759.71,,182461.86,7786113.29,321469.43,1165495.71,,21785.86,,10745.0,117332.71,280748.86,33964.0,90665.14,,,,,302336.14,,18639210.57,2802346.14,,791716.71,1095853.57,107261.43,215801.14,169995.43,4202444.43,,946500.29,297810.86,,,267298.57,,28317.43,1965498.43,123735.14,,,,,,,,2.65,1.74,,3.37,4.76
2002-04-01,2002,4,82045.86,5907.43,9294.0,3365735.71,54274.43,81555.43,3469455.86,,,61874.0,489510.71,2481584.57,,60059.71,,,118763.0,617959.57,21923335.86,3353093.14,,190891.14,233851.43,,551722.0,9139736.57,7830778.0,533999.86,54915.71,198466.71,474742.57,509521.0,859511.0,,212202.86,7875350.71,357210.43,1281580.0,,26823.14,,13165.57,114379.14,265059.29,34138.43,78493.0,,,,,308258.0,,18308320.71,2726807.43,,791796.43,1078146.0,111182.0,229776.86,203898.43,4283262.29,,939968.0,295357.14,,,251988.0,,35458.86,1948375.71,,24152.85,21572.58,24524.86,23500.16,16361.96,30809.85,2.0,2.6,1.66,1.8,3.29,4.73
2002-05-01,2002,5,65436.43,,8044.29,3106683.29,51751.57,85117.57,3367734.29,,,,510810.29,2358634.57,,115060.14,,,121048.0,607121.57,21655051.0,3301347.43,,173831.0,252124.14,4273094.43,549790.71,9203236.57,7930933.71,581297.14,59034.57,202959.86,462734.0,474555.43,904026.43,,202262.57,7693586.71,440412.86,1190231.86,,26827.43,,11502.86,114433.43,292343.86,34181.71,57749.43,,,,,347824.0,,18226971.0,2582889.43,,827665.0,1087066.0,100925.57,261946.0,194390.29,4311113.14,,927586.0,286303.71,,,299563.0,,,1916413.0,,24437.3,21840.49,24749.0,23762.86,16610.21,31441.71,1.88,2.56,1.58,1.84,3.22,4.69
2002-06-01,2002,6,86169.86,,4951.86,3246567.14,48936.71,85111.57,3376249.0,,,,521827.0,2297229.57,,144181.43,,,116808.0,592228.43,21226306.71,3326198.71,,184379.29,302907.86,4478691.14,522541.14,9406810.86,7920466.57,664982.57,90972.43,202229.29,445282.57,514837.0,857224.43,,188917.86,7612058.86,449389.0,1041146.29,,42251.29,,13502.0,113773.71,305051.14,35594.0,49980.14,,,,,326529.14,,17742605.43,2499065.71,,844639.57,1082319.29,103852.57,284382.71,143496.29,4214780.14,,901245.57,275323.29,,,,,,1891818.43,,24721.75,22108.39,24973.13,24025.57,16858.45,32073.57,1.76,2.51,1.5,1.88,3.14,4.65
2002-07-01,2002,7,107937.14,,15523.14,3341165.86,59958.0,91717.43,3455009.0,,,,519682.43,2361095.43,73295.14,182824.86,,,103727.43,651442.57,22611806.57,3520166.0,,197605.14,317035.57,4652892.71,537774.29,9598508.29,8353944.14,719449.71,,187738.57,467169.71,501752.0,811838.43,,203014.0,7960697.86,461618.0,1096285.0,,51485.29,,16121.0,122621.71,321630.43,36186.29,31368.14,,,,,333018.0,,18053881.0,2504635.57,27538.14,853147.43,1166478.57,91571.86,283730.14,145962.43,4036763.43,,961083.57,302469.0,,,,,,1896885.14,,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43,1.65,2.47,1.42,1.92,3.07,4.61
