TIME,year,month,T#AT#IT,T#AU#IT,T#BE#IT,T#CH#IT,T#CY#IT,T#CZ#IT,T#DE#IT,T#DK#IT,T#ES#IT,T#FR#IT,T#GB#IT,T#GR#IT,T#HR#IT,T#HU#IT,T#IL#IT,T#MT#IT,T#NL#IT,T#NO#IT,T#PL#IT,T#PT#IT,T#RO#IT,T#RU#IT,T#SE#IT,T#SI#IT,T#SK#IT,T#TR#IT,T#US#IT,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione
2000-06-01,2000,6,354496.0,,25362.14,396719.14,,,3623690.57,26102.71,,356762.0,672870.71,,,,321068.86,,140243.86,,,,,,24098.71,150551.29,,,,23406.59,20404.37,24129.07,22739.56,14888.4,26335.07,2.34,2.41,1.32,1.51,3.27,5.03
2000-07-01,2000,7,378619.43,,34095.29,444803.14,,,3677748.71,27455.71,,345585.43,677798.86,,,,295905.0,,138194.71,,,,,,20137.14,159328.0,,,,23098.89,20137.59,23694.76,22416.43,14749.69,26334.57,2.54,2.54,1.44,1.68,3.43,5.59
2000-08-01,2000,8,346490.0,,,418673.14,,,3324334.71,,,309886.14,571055.43,,,,312816.86,,125448.57,,,,,,21016.57,133230.57,,,,23098.89,20137.59,23694.76,22416.43,14749.69,26334.57,2.54,2.54,1.44,1.68,3.43,5.59
2000-09-01,2000,9,369819.29,,,404578.57,,,3222595.14,,,313611.86,554047.86,,,,270987.57,,124607.71,,,,,,23807.86,135597.86,,,,23098.89,20137.59,23694.76,22416.43,14749.69,26334.57,2.54,2.54,1.44,1.68,3.43,5.59
2000-10-01,2000,10,370858.29,,,403785.86,,,3199542.71,,,280585.14,487532.71,,,,339061.57,,116669.14,,,,,,25767.86,136821.14,,50660.29,,23098.89,20137.59,23694.76,22416.43,14749.69,26334.57,2.54,2.54,1.44,1.68,3.43,5.59
2000-11-01,2000,11,347803.0,,,409108.0,,,3312285.71,,,298706.29,480189.57,,,,219227.29,,121853.71,,,,,,24726.86,132450.14,,,,23098.89,20137.59,23694.76,22416.43,14749.69,26334.57,2.54,2.54,1.44,1.68,3.43,5.59
2000-12-01,2000,12,334759.43,,,366884.43,,,3189605.57,,,303635.86,431639.29,,,,258366.29,,112009.29,,,,,,20736.0,132321.29,,,,23098.89,20137.59,23694.76,22416.43,14749.69,26334.57,2.54,2.54,1.44,1.68,3.43,5.59
2001-01-01,2001,1,323311.0,,,361410.86,,,3244592.57,,,353948.14,440759.57,,,,260022.43,,127269.29,,,,,,21211.57,138502.0,,,,23086.91,20189.5,23685.27,22421.13,14838.16,,2.53,2.57,1.52,1.67,3.46,5.49
2001-02-01,2001,2,299146.86,,,354007.0,,,3305140.71,,,377871.29,438089.71,,,,241949.0,,134945.29,,,,,,21313.86,153111.14,,,,23074.94,20241.41,23675.78,22425.83,14926.63,,2.52,2.61,1.6,1.66,3.48,5.39
2001-03-01,2001,3,354383.0,,45613.0,394678.14,,,3839754.0,34458.0,,436289.29,546839.14,13289.43,,,245786.0,,171230.0,,,25638.14,,,23005.29,185046.71,,,63151.86,23062.97,20293.32,23666.29,22430.53,15015.11,,2.51,2.64,,1.66,3.5,5.28
2001-04-01,2001,4,305456.57,,42278.14,419612.29,,,3880161.14,35757.57,,467348.86,504453.14,,,,263731.43,,172916.43,,,,,,24660.71,192706.71,,,55505.43,23050.99,20345.23,23656.8,22435.23,15103.58,27447.62,2.5,2.68,1.75,1.65,3.52,5.18
2001-05-01,2001,5,343654.57,,62157.29,424662.14,,,3940324.14,29830.71,,504192.29,544376.86,,,,198806.0,,178077.71,,,,,,22559.43,199809.0,,,49832.86,23039.02,20397.14,23647.31,22439.94,15192.05,27725.88,2.49,2.71,1.83,1.65,3.55,5.08
2001-06-01,2001,6,360018.14,,64623.43,413330.43,,,3983532.86,30127.29,,539106.14,519927.43,,,,196104.71,,190761.14,,,,40875.57,,21589.0,196787.14,,,54706.57,23027.04,20449.05,23637.82,22444.64,15280.53,28004.15,2.48,2.75,1.91,1.64,3.57,4.98
2001-07-01,2001,7,402266.29,,61016.43,430510.0,,,4125286.14,31340.43,,549035.14,531818.57,,,,209864.57,,213478.14,,,,44691.71,,25102.29,188918.71,,,68671.86,23015.07,20500.95,23628.33,22449.34,15369.0,28282.41,2.47,2.79,1.98,1.63,3.59,4.87
2001-08-01,2001,8,362472.57,,57563.29,412432.43,,,3736354.71,,,483706.0,453433.0,,,,187010.71,,197304.86,,,,49606.86,19335.0,23606.43,162672.0,,,74325.14,23015.07,20500.95,23628.33,22449.34,15369.0,28282.41,2.47,2.79,1.98,1.63,3.59,4.87
2001-09-01,2001,9,353755.43,,66346.43,384420.29,,,3690435.29,,,540944.14,469169.71,,,,,,188551.43,,,,48528.43,18122.86,,156996.29,,,78280.71,23015.07,20500.95,23628.33,22449.34,15369.0,28282.41,2.47,2.79,1.98,1.63,3.59,4.87
2001-10-01,2001,10,355356.14,,57686.14,394498.57,,,3629619.71,,,583696.14,423617.86,,,,,,174730.71,,,,61412.14,11804.71,,153615.71,,,91856.29,23015.07,20500.95,23628.33,22449.34,15369.0,28282.41,2.47,2.79,1.98,1.63,3.59,4.87
2001-11-01,2001,11,360848.0,,57794.43,394350.86,,,3597299.57,,,587744.43,434910.0,,,,,,180069.71,,,,61165.29,13163.86,,144450.86,,,84765.0,23015.07,20500.95,23628.33,22449.34,15369.0,28282.41,2.47,2.79,1.98,1.63,3.59,4.87
2001-12-01,2001,12,297724.86,,43474.0,369962.71,,,3279533.29,,,561010.43,397272.71,,,,,,172189.0,,,,72895.57,13838.71,,148669.14,,,87184.0,23015.07,20500.95,23628.33,22449.34,15369.0,28282.41,2.47,2.79,1.98,1.63,3.59,4.87
2002-01-01,2002,1,307522.57,,41572.0,367922.43,,,3192721.71,,,593692.0,438929.29,,,,,,158531.29,,,,63298.43,17614.71,,158021.57,,,90755.43,,20768.86,,,15617.24,28914.27,,2.74,1.9,1.68,3.51,4.84
2002-02-01,2002,2,261661.57,,47360.43,367369.57,,,3145273.29,,,655957.0,442021.57,,,,,,138261.71,,,,60129.14,20502.86,,187885.29,,,96361.29,,,,,,,,2.69,1.82,,3.44,4.8
2002-03-01,2002,3,293749.71,,47660.0,407902.71,,,3494630.71,37218.86,55975.0,,522643.57,,,,,,151383.0,,,,61309.0,19204.29,,229696.29,,,126065.0,,,,,,,,2.65,1.74,,3.37,4.76
2002-04-01,2002,4,289128.29,,48760.43,408163.57,,,3459439.0,37635.29,58180.14,711410.57,503681.0,,,,,,150992.86,,,,,18925.86,24652.71,229174.86,,,136241.0,24152.85,21572.58,24524.86,23500.16,16361.96,30809.85,2.0,2.6,1.66,1.8,3.29,4.73
2002-05-01,2002,5,263321.29,,56536.14,415573.29,,,3299860.57,40575.57,62582.86,705487.71,502061.0,,22674.0,,,,154819.71,,,,,25104.71,20841.43,249780.57,,,150602.57,24437.3,21840.49,24749.0,23762.86,16610.21,31441.71,1.88,2.56,1.58,1.84,3.22,4.69
2002-06-01,2002,6,288194.71,,52608.86,389258.57,,,3171524.14,43681.0,74424.57,737382.29,533115.43,,,,266866.86,,156075.71,,,,,25289.43,20433.57,262201.29,,,192674.57,24721.75,22108.39,24973.13,24025.57,16858.45,32073.57,1.76,2.51,1.5,1.88,3.14,4.65
2002-07-01,2002,7,303567.0,,65810.43,416698.0,,,3323603.29,44874.29,81482.71,786469.71,556983.14,,,,195244.14,,154425.14,,,,,,27933.29,256795.14,,,205823.14,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43,1.65,2.47,1.42,1.92,3.07,4.61
2002-08-01,2002,8,258223.86,,60896.14,391433.71,,,2973661.71,,,687296.86,493663.86,,,,214120.71,,149444.14,,,,,,28130.29,234196.0,,,200737.43,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43,1.65,2.47,1.42,1.92,3.07,4.61
2002-09-01,2002,9,291172.0,,65461.86,374575.14,,,2870804.57,,,679935.71,523338.29,,,,192266.43,,148762.29,,,,,,27494.86,226316.71,,,189398.86,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43,1.65,2.47,1.42,1.92,3.07,4.61
2002-10-01,2002,10,326812.0,,65759.86,371881.0,,,2807149.43,,,630705.14,500233.86,,,,149446.43,,151628.71,,,,,,24397.86,226756.14,,,190363.71,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43,1.65,2.47,1.42,1.92,3.07,4.61
2002-11-01,2002,11,338499.14,,64014.43,365480.71,,,2756545.71,,,642390.71,513078.14,,,,144731.43,,155379.29,,,,,,26716.29,241999.71,,,222985.43,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43,1.65,2.47,1.42,1.92,3.07,4.61
2002-12-01,2002,12,365257.43,,63254.14,344770.43,,,2552207.0,,,632065.71,466663.86,,,,108517.86,,149590.57,,,,,,24720.71,221317.86,,,223166.29,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43,1.65,2.47,1.42,1.92,3.07,4.61
2003-01-01,2003,1,399308.0,,65340.57,339972.71,,,2598657.57,,,643246.57,507699.57,,,14655.0,86428.43,,136615.0,,,,,,25832.86,227203.14,,,193278.86,25813.19,23112.02,25927.71,25051.08,17735.85,33919.45,1.64,2.49,1.37,1.95,3.06,4.45
2003-02-01,2003,2,447225.71,,54286.71,311560.71,,,2605062.71,,,644461.57,525881.57,,,13064.86,119085.43,,152393.14,,,,,,19190.29,232192.0,,,187171.14,,,,,,,1.63,2.52,1.31,1.97,3.06,
